SteamAppid,Description,Type,Name,Publishers,Developers,isFree,InterfaceLanguages,FullAudioLanguages,SubtitlesLanguages,Windows,Mac,Linux,Date,ComingSoon,Currency,DiscountPercent,InitialFormatted,FinalFormatted
39500,"¡Un héroe sin nombre se convierte en leyenda! Myrtana, un mundo en plena agitación: invadido por los orcos de las tierras oscuras del norte, el Rey Rhobar defiende Vengard, el principal bastión humano, con sus últimas tropas leales.",game,Gothic® 3,THQ Nordic,Piranha Bytes,false,"Inglés, Francés, Alemán, Español de España, Italiano, Polaco, Ruso","Inglés, Francés, Alemán, Polaco","Inglés, Francés, Alemán, Español de España, Italiano, Polaco, Ruso",true,false,false,2 DIC 2009,false,ARS,0,ARS 129.99,"ARS$ 129,99"
39520,"It’s the year 1400- the late Middle Ages. Europe sees the dawn of the golden age of the new departures and the free spirit. Under the rule of the bourgeoisie and businessmen, more and more towns are emerging from the clutches of the aristocracy and are achieving independence, power and wealth.",game,The Guild Gold Edition,THQ Nordic,4HEAD Studios,false,"Inglés, Alemán<strong>*</strong>",Inglés,"Inglés, Alemán<strong>*</strong>",true,false,false,9 SEP 2014,false,ARS,0,ARS 129.99,"ARS$ 129,99"
39550,SpellForce 2 - Anniversary Edition es una colección de los galardonados éxitos de la saga SpellForce: &quot;SpellForce 2 – Shadow Wars&quot; y el add-on &quot;SpellForce 2 – Dragon Storm&quot; para una espectacular experiencia de juego,game,SpellForce 2 - Anniversary Edition,THQ Nordic,"Phenomic, THQ Nordic",false,"Inglés, Francés, Alemán, Italiano, Español de España, Polaco, Ruso<strong>*</strong>","Inglés, Francés, Alemán, Español de España","Inglés, Francés, Alemán, Italiano, Español de España, Polaco, Ruso<strong>*</strong>",true,false,false,,false,ARS,0,ARS 179.99,"ARS$ 179,99"
39270,"Viaja más allá de los límites de Ehb para adentrarte en el desierto de Aranoi. ¡Treasures of the Sun te trae nuevos enemigos, nuevas habilidades, un nuevo nivel máximo y un nuevo Sistema de Encantamiento!",dlc,Dungeon Siege III: Treasures of the Sun,Square Enix,Obsidian Entertainment,false,"Inglés, Francés, Alemán, Italiano, Polaco, Ruso, Español de España",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Italiano, Polaco, Ruso, Español de España",true,false,false,25 OCT 2011,false,ARS,0,ARS 94.99,"ARS$ 94,99"
39391,img.border,game,Freeze Tag Fun Pack #1,Freeze Tag Inc.,"Freeze Tag Inc., Joju Games, Linksolutions Ltd., Dekovir Entertainment",false,Inglés,No hay soporte para este tipo de idioma,Inglés,true,false,false,23 SEP 2009,false,,0,ARS 0.00,
39560,"William &quot;Bill&quot; Sherman tiene un problema - está muerto. Su propia carga de C4 le hizo volar en pedacitos, con la cual quería eliminar a un capo narcotraficante sudamericano en nombre de una misteriosa agencia de servicio secreto.",game,Painkiller: Resurrection,Prime Matter,Homegrown Games,false,"Inglés, Francés, Alemán, Italiano, Español de España",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Italiano, Español de España",true,false,false,27 OCT 2009,false,ARS,0,ARS 129.99,"ARS$ 129,99"
39540,"Se incluyen tres títulos en la Platinum Edition (Edición de platino):SpellForce: The Order of DawnEn un mundo más allá de la imaginación...Los trece magos más poderosos de todos los tiempos, codiciosos y sedientos de poder, han condenado el mundo, convirtiéndolo en una eterna espiral de caos y desesperación.",game,SpellForce - Platinum Edition,THQ Nordic,Phenomic,false,"Inglés, Francés, Alemán",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán",true,false,false,3 NOV 2009,false,ARS,0,ARS 129.99,"ARS$ 129,99"
39630,"The water is no longer calm. The undersea world has undergone a transformation from tranquil environment to a place of unspeakable violence, graphic murder and horrific danger.",game,AquaNox,THQ Nordic,Massive Development,false,"Inglés, Alemán, Italiano, Español de España",No hay soporte para este tipo de idioma,"Inglés, Alemán, Italiano, Español de España",true,false,false,20 ABR 2010,false,ARS,0,ARS 82.00,"ARS$ 82,00"
39650,"The Guild 2 es el brillante sucesor del gran éxito de simulación de vida medieval, Europe 1400. The Guild 2 es una mezcla única de RPG y simulación de vida en un apasionante escenario de la edad media. El jugador y su grupo formarán parte de la historia e incluso la pueden alterar en tiempo real.",game,The Guild II,THQ Nordic,4HEAD Studios,false,"Inglés, Francés, Alemán, Italiano, Español de España",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán, Italiano, Español de España",true,false,false,24 JUN 2010,false,ARS,0,ARS 129.99,"ARS$ 129,99"
39640,"AQUANOX 2: REVELATION es una nueva historia en el mundo submarino de Aqua. En 2666 un joven piloto de carga llamado William Drake parte para buscar la herencia de un mítico antepasado. Aunque busca aventuras, encontrará codicia, maldad, odio inclemente... pero también ayuda inesperada.",game,AquaNox 2: Revelation,THQ Nordic,Massive Development,false,"Inglés, Francés, Alemán",No hay soporte para este tipo de idioma,"Inglés, Francés, Alemán",true,false,false,20 ABR 2010,false,ARS,0,ARS 82.00,"ARS$ 82,00"
